01-who	0.000	5.042	1.30	6.342
02-plan	6.342	12.983	1.00	13.983
03-launch	20.324	14.289	0.70	14.989
04-nogen	35.313	8.777	1.30	10.077
05-pools	45.391	16.980	1.00	17.980
06-site	63.370	8.908	0.70	9.608
07-rooms	72.978	13.793	1.20	14.993
08-snapshot	87.971	14.289	0.70	14.989
09-receipts	102.960	5.381	1.30	6.681
10-contracts	109.641	13.636	0.70	14.336
11-notlive	123.977	5.251	1.40	6.651
12-close	130.627	9.221	1.20	10.421
13-shift	141.049	1.254	1.80	3.054
14-url	144.102	1.567	2.00	3.567
